epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.0757,1.45014,3.16747,1.38497,0.1961,0.49194,0.17219,0.08846,1.57803,3.75058,2.15668,0.000545744,0.000545744,0.000545744
2,35.0389,1.41645,1.80099,1.3601,0.1961,0.49194,0.17219,0.08846,nan,nan,nan,0.00109051,0.00109051,0.00109051
3,49.8578,1.40367,1.69566,1.3774,0.1961,0.49194,0.17219,0.08846,nan,nan,nan,0.00162427,0.00162427,0.00162427
4,64.8634,1.36856,1.61399,1.39151,0.39468,0.31628,0.23796,0.14158,1.49109,5.65051,1.70463,0.00161749,0.00161749,0.00161749
5,79.8719,1.32563,1.50812,1.3267,0.38536,0.56158,0.38052,0.24141,1.29626,2.99046,1.48097,0.00160099,0.00160099,0.00160099
6,94.8737,1.24496,1.46009,1.27044,0.44127,0.57221,0.40875,0.27593,1.24394,2.42441,1.37387,0.00158448,0.00158448,0.00158448
7,109.876,1.21592,1.40187,1.26427,0.44016,0.68025,0.4117,0.26909,1.20686,1.65626,1.30383,0.00156798,0.00156798,0.00156798
8,124.769,1.22325,1.37955,1.26711,0.43559,0.68126,0.42352,0.28265,1.22009,1.49992,1.28155,0.00155148,0.00155148,0.00155148
9,139.795,1.21504,1.38192,1.28689,0.40897,0.49739,0.36378,0.23621,1.39977,1.96639,1.43822,0.00153497,0.00153497,0.00153497
10,154.685,1.21038,1.34423,1.27329,0.43412,0.69606,0.44202,0.30592,1.18028,1.42201,1.28931,0.00151847,0.00151847,0.00151847
11,169.699,1.16838,1.31598,1.24792,0.45483,0.80999,0.49641,0.3456,1.13034,1.3069,1.27494,0.00150197,0.00150197,0.00150197
12,184.728,1.17369,1.26531,1.26932,0.4152,0.83003,0.44759,0.31102,1.04982,1.26073,1.20637,0.00148546,0.00148546,0.00148546
13,199.633,1.1639,1.24571,1.23022,0.41581,0.77355,0.44167,0.29603,1.14021,1.34831,1.25602,0.00146896,0.00146896,0.00146896
14,214.539,1.17336,1.25126,1.24649,0.40717,0.83541,0.44776,0.29908,1.18654,1.33851,1.28627,0.00145246,0.00145246,0.00145246
15,229.416,1.08898,1.20197,1.19793,0.45772,0.7612,0.44928,0.31107,1.12689,1.394,1.2657,0.00143595,0.00143595,0.00143595
16,244.298,1.11055,1.21684,1.1961,0.40068,0.66425,0.39848,0.28208,1.08587,1.53894,1.22138,0.00141945,0.00141945,0.00141945
17,259.176,1.12193,1.18865,1.22932,0.45007,0.80191,0.46813,0.32255,1.06224,1.30137,1.21872,0.00140295,0.00140295,0.00140295
18,274.056,1.10098,1.21534,1.20732,0.4295,0.7959,0.4783,0.31642,1.16522,1.39305,1.27048,0.00138644,0.00138644,0.00138644
19,288.934,1.09033,1.21607,1.18929,0.45772,0.72915,0.45441,0.307,1.1826,1.47783,1.30446,0.00136994,0.00136994,0.00136994
20,303.796,1.13151,1.17338,1.21782,0.44728,0.73399,0.45226,0.30051,1.19038,1.39388,1.29072,0.00135344,0.00135344,0.00135344
21,318.663,1.06571,1.16593,1.17039,0.44864,0.79467,0.46027,0.32536,1.06227,1.35047,1.22604,0.00133693,0.00133693,0.00133693
22,333.526,1.04686,1.14978,1.18877,0.44692,0.82389,0.45725,0.31798,1.10399,1.29507,1.22675,0.00132043,0.00132043,0.00132043
23,348.395,1.0519,1.14059,1.17872,0.43137,0.83552,0.48328,0.34309,1.01962,1.19478,1.17836,0.00130393,0.00130393,0.00130393
24,363.269,1.05448,1.13384,1.17804,0.43319,0.84332,0.47519,0.34356,1.00466,1.25154,1.18227,0.00128742,0.00128742,0.00128742
25,378.138,1.02794,1.13047,1.15761,0.42486,0.76019,0.43395,0.30263,1.02279,1.24073,1.1634,0.00127092,0.00127092,0.00127092
26,393.005,1.01809,1.12926,1.16805,0.43945,0.79365,0.47039,0.33896,0.99443,1.27255,1.16692,0.00125442,0.00125442,0.00125442
27,407.879,1.01383,1.11119,1.15904,0.46766,0.8151,0.4856,0.35579,1.04613,1.22946,1.19746,0.00123791,0.00123791,0.00123791
28,422.848,1.01542,1.12249,1.15241,0.44231,0.66766,0.42254,0.30798,1.06542,1.40723,1.22656,0.00122141,0.00122141,0.00122141
29,437.767,0.9844,1.09656,1.13519,0.43133,0.82165,0.46414,0.33972,0.94455,1.26329,1.15093,0.00120491,0.00120491,0.00120491
30,452.682,1.00796,1.09305,1.16155,0.44861,0.78318,0.44674,0.31313,1.07108,1.33941,1.20423,0.0011884,0.0011884,0.0011884
31,467.57,0.98233,1.09147,1.13492,0.42871,0.84987,0.4672,0.33874,1.00894,1.19578,1.17927,0.0011719,0.0011719,0.0011719
32,482.461,1.01505,1.10779,1.16393,0.40486,0.81188,0.43286,0.31268,1.02129,1.41004,1.19873,0.0011554,0.0011554,0.0011554
33,497.357,1.01432,1.09282,1.171,0.45801,0.82815,0.49915,0.35713,0.99688,1.16198,1.18486,0.00113889,0.00113889,0.00113889
34,512.366,0.97408,1.06471,1.13207,0.44708,0.80329,0.46982,0.3454,0.95385,1.20429,1.13675,0.00112239,0.00112239,0.00112239
35,527.262,0.97442,1.05697,1.139,0.44645,0.79165,0.45235,0.32089,1.02139,1.16558,1.18415,0.00110589,0.00110589,0.00110589
36,542.165,0.96541,1.06714,1.12995,0.43839,0.74746,0.46268,0.33376,1.016,1.4601,1.1978,0.00108938,0.00108938,0.00108938
37,557.075,0.95219,1.06739,1.12948,0.39443,0.81042,0.42251,0.30709,0.98224,1.4002,1.18602,0.00107288,0.00107288,0.00107288
