epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.9212,1.35539,3.37615,1.21829,0.00283,0.7909,0.0215,0.01428,1.22985,3.61057,1.24755,0.000545744,0.000545744,0.000545744
2,25.5227,1.25209,2.44936,1.1533,0.43183,0.29736,0.2976,0.19164,1.20354,2.72008,1.15842,0.00109051,0.00109051,0.00109051
3,36.0175,1.25975,2.15858,1.16439,0.3598,0.43316,0.30026,0.18542,1.27532,5.09458,1.23948,0.00162427,0.00162427,0.00162427
4,44.5119,1.2138,1.88388,1.15688,0.42581,0.7263,0.44605,0.26696,1.36242,1.62296,1.2087,0.00161749,0.00161749,0.00161749
5,53.3919,1.20611,1.66009,1.13444,0.45115,0.66172,0.44019,0.292,1.17258,1.57173,1.15308,0.00160099,0.00160099,0.00160099
6,62.1874,1.17127,1.5518,1.12658,0.43703,0.7422,0.44113,0.28862,1.15073,1.44437,1.09526,0.00158448,0.00158448,0.00158448
7,70.7267,1.15054,1.45105,1.1195,0.45533,0.78792,0.47936,0.33864,1.05809,1.32075,1.0622,0.00156798,0.00156798,0.00156798
8,79.4507,1.12965,1.37005,1.10219,0.41926,0.706,0.41547,0.27823,1.19768,1.47379,1.18875,0.00155148,0.00155148,0.00155148
9,88.6182,1.12638,1.33315,1.09901,0.42776,0.81016,0.48407,0.33561,1.09419,1.36114,1.08962,0.00153497,0.00153497,0.00153497
10,97.39,1.09197,1.29243,1.08464,0.45754,0.81451,0.46265,0.32365,1.06481,1.24211,1.03596,0.00151847,0.00151847,0.00151847
11,106.644,1.08939,1.27983,1.08006,0.46121,0.74579,0.47103,0.33813,1.04714,1.29399,1.06254,0.00150197,0.00150197,0.00150197
12,115.721,1.10063,1.25166,1.09382,0.45917,0.76967,0.47057,0.32862,1.07154,1.24522,1.05137,0.00148546,0.00148546,0.00148546
13,124.955,1.055,1.23405,1.06679,0.45503,0.81024,0.48588,0.34584,1.04176,1.22992,1.06533,0.00146896,0.00146896,0.00146896
14,133.734,1.05865,1.21037,1.0639,0.45927,0.83039,0.46307,0.33001,1.00161,1.20985,1.0437,0.00145246,0.00145246,0.00145246
15,143.144,1.01963,1.1474,1.03781,0.45803,0.8199,0.4903,0.3231,1.15631,1.22534,1.11405,0.00143595,0.00143595,0.00143595
16,152.258,1.01561,1.17421,1.0488,0.43515,0.83565,0.47483,0.34373,1.04861,1.38142,1.0937,0.00141945,0.00141945,0.00141945
17,161.251,1.05991,1.16283,1.07722,0.39613,0.80292,0.43169,0.31395,0.968,1.32521,1.03627,0.00140295,0.00140295,0.00140295
